[2024-01-04 11:06:43,991][__main__][INFO] - configuration: 
[2024-01-04 11:07:31,847][__main__][INFO] - 2400
[2024-01-04 11:07:32,564][__main__][INFO] - 2500
[2024-01-04 11:07:33,309][__main__][INFO] - 2600
[2024-01-04 11:07:34,021][__main__][INFO] - 2700
[2024-01-04 11:07:34,735][__main__][INFO] - 2800
[2024-01-04 11:07:35,455][__main__][INFO] - 2900
[2024-01-04 11:07:36,189][__main__][INFO] - 3000
[2024-01-04 11:07:36,902][__main__][INFO] - 3100
[2024-01-04 11:07:37,671][__main__][INFO] - 3200
[2024-01-04 11:07:38,438][__main__][INFO] - 3300
[2024-01-04 11:07:39,277][__main__][INFO] - 3400
[2024-01-04 11:07:40,073][__main__][INFO] - 3500
[2024-01-04 11:07:40,824][__main__][INFO] - 3600
[2024-01-04 11:07:41,550][__main__][INFO] - 3700
[2024-01-04 11:07:41,932][__main__][INFO] - Epoch 2 complete!,  Average Loss: 92.59637850041261
[2024-01-04 11:07:41,935][__main__][INFO] - 0
[2024-01-04 11:07:42,704][__main__][INFO] - 100
[2024-01-04 11:07:43,483][__main__][INFO] - 200
[2024-01-04 11:07:44,282][__main__][INFO] - 300
[2024-01-04 11:07:45,018][__main__][INFO] - 400
[2024-01-04 11:07:45,801][__main__][INFO] - 500
[2024-01-04 11:07:46,553][__main__][INFO] - 600
[2024-01-04 11:07:47,323][__main__][INFO] - 700
[2024-01-04 11:07:48,086][__main__][INFO] - 800
[2024-01-04 11:07:48,842][__main__][INFO] - 900
[2024-01-04 11:07:49,599][__main__][INFO] - 1000
[2024-01-04 11:07:50,325][__main__][INFO] - 1100
[2024-01-04 11:07:51,042][__main__][INFO] - 1200
[2024-01-04 11:07:51,800][__main__][INFO] - 1300
[2024-01-04 11:07:52,590][__main__][INFO] - 1400
[2024-01-04 11:07:53,452][__main__][INFO] - 1500
[2024-01-04 11:07:54,222][__main__][INFO] - 1600
[2024-01-04 11:07:55,002][__main__][INFO] - 1700
[2024-01-04 11:07:55,779][__main__][INFO] - 1800
[2024-01-04 11:07:56,576][__main__][INFO] - 1900
[2024-01-04 11:07:57,338][__main__][INFO] - 2000
[2024-01-04 11:07:58,075][__main__][INFO] - 2100
[2024-01-04 11:07:58,795][__main__][INFO] - 2200
[2024-01-04 11:07:59,509][__main__][INFO] - 2300
[2024-01-04 11:08:00,250][__main__][INFO] - 2400
[2024-01-04 11:08:01,057][__main__][INFO] - 2500
[2024-01-04 11:08:01,856][__main__][INFO] - 2600
[2024-01-04 11:08:02,665][__main__][INFO] - 2700
[2024-01-04 11:08:03,469][__main__][INFO] - 2800
[2024-01-04 11:08:04,252][__main__][INFO] - 2900
[2024-01-04 11:08:05,067][__main__][INFO] - 3000
[2024-01-04 11:08:05,900][__main__][INFO] - 3100
[2024-01-04 11:08:06,681][__main__][INFO] - 3200
[2024-01-04 11:08:07,483][__main__][INFO] - 3300
[2024-01-04 11:08:08,225][__main__][INFO] - 3400
[2024-01-04 11:08:08,969][__main__][INFO] - 3500
[2024-01-04 11:08:09,725][__main__][INFO] - 3600
[2024-01-04 11:08:10,587][__main__][INFO] - 3700
[2024-01-04 11:08:11,145][__main__][INFO] - Epoch 3 complete!,  Average Loss: 90.07673142362702
[2024-01-04 11:08:11,150][__main__][INFO] - 0
[2024-01-04 11:08:12,024][__main__][INFO] - 100
[2024-01-04 11:08:12,811][__main__][INFO] - 200
[2024-01-04 11:08:13,649][__main__][INFO] - 300
[2024-01-04 11:08:14,419][__main__][INFO] - 400
[2024-01-04 11:08:15,282][__main__][INFO] - 500
[2024-01-04 11:08:16,085][__main__][INFO] - 600
[2024-01-04 11:08:16,841][__main__][INFO] - 700
[2024-01-04 11:08:17,678][__main__][INFO] - 800
[2024-01-04 11:08:18,438][__main__][INFO] - 900
[2024-01-04 11:08:19,240][__main__][INFO] - 1000
[2024-01-04 11:08:20,006][__main__][INFO] - 1100
[2024-01-04 11:08:20,811][__main__][INFO] - 1200
[2024-01-04 11:08:21,555][__main__][INFO] - 1300
[2024-01-04 11:08:22,332][__main__][INFO] - 1400
[2024-01-04 11:08:23,106][__main__][INFO] - 1500
[2024-01-04 11:08:23,885][__main__][INFO] - 1600
[2024-01-04 11:08:24,643][__main__][INFO] - 1700
[2024-01-04 11:08:25,427][__main__][INFO] - 1800
[2024-01-04 11:08:26,251][__main__][INFO] - 1900
[2024-01-04 11:08:27,029][__main__][INFO] - 2000
[2024-01-04 11:08:27,807][__main__][INFO] - 2100
[2024-01-04 11:08:28,579][__main__][INFO] - 2200
[2024-01-04 11:08:29,347][__main__][INFO] - 2300
[2024-01-04 11:08:30,092][__main__][INFO] - 2400
[2024-01-04 11:08:30,844][__main__][INFO] - 2500
[2024-01-04 11:08:31,598][__main__][INFO] - 2600
[2024-01-04 11:08:32,367][__main__][INFO] - 2700
[2024-01-04 11:08:33,145][__main__][INFO] - 2800
[2024-01-04 11:08:33,956][__main__][INFO] - 2900
[2024-01-04 11:08:34,736][__main__][INFO] - 3000
[2024-01-04 11:08:35,515][__main__][INFO] - 3100
[2024-01-04 11:08:36,388][__main__][INFO] - 3200
[2024-01-04 11:08:37,376][__main__][INFO] - 3300
[2024-01-04 11:08:38,150][__main__][INFO] - 3400
[2024-01-04 11:08:39,026][__main__][INFO] - 3500
[2024-01-04 11:08:39,851][__main__][INFO] - 3600
[2024-01-04 11:08:40,619][__main__][INFO] - 3700
[2024-01-04 11:08:41,009][__main__][INFO] - Epoch 4 complete!,  Average Loss: 88.91627092582762
[2024-01-04 11:08:41,013][__main__][INFO] - 0
[2024-01-04 11:08:41,777][__main__][INFO] - 100
[2024-01-04 11:08:42,525][__main__][INFO] - 200
[2024-01-04 11:08:43,293][__main__][INFO] - 300
[2024-01-04 11:08:44,054][__main__][INFO] - 400
[2024-01-04 11:08:44,914][__main__][INFO] - 500
[2024-01-04 11:08:45,733][__main__][INFO] - 600
[2024-01-04 11:08:46,508][__main__][INFO] - 700
[2024-01-04 11:08:47,265][__main__][INFO] - 800
[2024-01-04 11:08:48,120][__main__][INFO] - 900
[2024-01-04 11:08:48,985][__main__][INFO] - 1000
[2024-01-04 11:08:49,809][__main__][INFO] - 1100
[2024-01-04 11:08:50,685][__main__][INFO] - 1200
[2024-01-04 11:08:51,464][__main__][INFO] - 1300
[2024-01-04 11:08:52,237][__main__][INFO] - 1400
[2024-01-04 11:08:53,016][__main__][INFO] - 1500
[2024-01-04 11:08:53,746][__main__][INFO] - 1600
[2024-01-04 11:08:54,474][__main__][INFO] - 1700
[2024-01-04 11:08:55,225][__main__][INFO] - 1800
[2024-01-04 11:08:55,986][__main__][INFO] - 1900
[2024-01-04 11:08:56,795][__main__][INFO] - 2000
[2024-01-04 11:08:57,581][__main__][INFO] - 2100
[2024-01-04 11:08:58,390][__main__][INFO] - 2200
[2024-01-04 11:08:59,143][__main__][INFO] - 2300
[2024-01-04 11:08:59,886][__main__][INFO] - 2400
[2024-01-04 11:09:00,609][__main__][INFO] - 2500
[2024-01-04 11:09:01,324][__main__][INFO] - 2600
[2024-01-04 11:09:02,064][__main__][INFO] - 2700
[2024-01-04 11:09:02,835][__main__][INFO] - 2800
[2024-01-04 11:09:03,569][__main__][INFO] - 2900
[2024-01-04 11:09:04,337][__main__][INFO] - 3000
[2024-01-04 11:09:05,115][__main__][INFO] - 3100
[2024-01-04 11:09:05,928][__main__][INFO] - 3200
[2024-01-04 11:09:06,703][__main__][INFO] - 3300
[2024-01-04 11:09:07,502][__main__][INFO] - 3400
[2024-01-04 11:09:08,294][__main__][INFO] - 3500
[2024-01-04 11:09:09,096][__main__][INFO] - 3600
[2024-01-04 11:09:09,866][__main__][INFO] - 3700
[2024-01-04 11:09:10,261][__main__][INFO] - Epoch 5 complete!,  Average Loss: 88.16884579051809
[2024-01-04 11:09:10,261][__main__][INFO] - Finish!!
[2024-01-04 11:09:10,267][__main__][INFO] - 0
